Quantify Compound Summary Report 

Printed Fri Apr 20 12:29:11 2012

Compound 1:  L-histidine

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	ug/ml	%Dev	Acq.Date	Acq.Time	ID
93	93	PR01_EXAMPLE_AAC_02SST_A1	SST	Analyte		1.51	23	144334	0.000	bbI	0.0		13-Apr-12	15:51:18	Batch02_000
94	94	PR01_EXAMPLE_AAC_02SST_A2	SST	Analyte		1.50	8	147515	0.000	bbI	0.0		13-Apr-12	16:01:46	Batch02_000
95	95	PR01_EXAMPLE_AAC_02SST_A3	SST	Analyte		1.52	6	147961	0.000	bbI	0.0		13-Apr-12	16:12:12	Batch02_000
96	96	PR01_EXAMPLE_AAC_02SST_A4	SST	Analyte		1.51	22	152661	0.000	bbI	0.0		13-Apr-12	16:22:37	Batch02_000
97	97	PR01_EXAMPLE_AAC_02SST_A5	SST	Analyte		1.50	20	148868	0.000	bbI	0.0		13-Apr-12	16:33:02	Batch02_000
80	80	PR01_EXAMPLE_AAC_02QC_A1	QC	QC	0.000	1.48	23524	136115	0.102	bb	0.2		13-Apr-12	16:43:27	Batch02_001
58	58	PR01_EXAMPLE_AAC_02Blank_A1	Blank	Solvent		1.51	15	2	3.778	bb	486.2		13-Apr-12	16:53:52	Batch02_002
81	81	PR01_EXAMPLE_AAC_02QC_A2	QC	QC	0.000	1.48	24038	137902	0.103	bb	0.3		13-Apr-12	17:04:17	Batch02_003
70	70	PR01_EXAMPLE_AAC_02CAL8_A1	Calibration	Standard	129.420	1.49	246743	134380	1.083	bb	129.9	0.4	13-Apr-12	17:14:42	Batch02_004
69	69	PR01_EXAMPLE_AAC_02CAL7_A1	Calibration	Standard	64.710	1.48	134709	132360	0.600	bb	66.1	2.1	13-Apr-12	17:25:07	Batch02_005
63	63	PR01_EXAMPLE_AAC_02CAL1_A1	Calibration	Standard	1.010	1.48	24404	127664	0.113	bb	1.6	58.7	13-Apr-12	17:35:32	Batch02_006
68	68	PR01_EXAMPLE_AAC_02CAL6_A1	Calibration	Standard	32.350	1.48	76209	131376	0.342	bb	31.9	-1.2	13-Apr-12	17:45:57	Batch02_007
66	66	PR01_EXAMPLE_AAC_02CAL4_A1	Calibration	Standard	8.090	1.48	37558	139475	0.159	bb	7.7	-4.8	13-Apr-12	17:56:22	Batch02_008
65	65	PR01_EXAMPLE_AAC_02CAL3_A1	Calibration	Standard	4.040	1.49	30587	143892	0.125	bb	3.3	-19.0	13-Apr-12	18:06:47	Batch02_009
64	64	PR01_EXAMPLE_AAC_02CAL2_A1	Calibration	Standard	2.020	1.48	27619	143455	0.114	bb	1.7	-15.4	13-Apr-12	18:17:12	Batch02_010
62	62	PR01_EXAMPLE_AAC_02CAL0_A1	Calibration	Standard	0.000	1.49	24558	143121	0.101	bb	0.1		13-Apr-12	18:27:37	Batch02_011
67	67	PR01_EXAMPLE_AAC_02CAL5_A1	Calibration	Standard	16.180	1.49	50602	138091	0.216	bb	15.3	-5.6	13-Apr-12	18:38:02	Batch02_012
82	82	PR01_EXAMPLE_AAC_02QC_B1	QC	QC	0.000	1.49	28041	146372	0.113	bb	1.6		13-Apr-12	18:48:27	Batch02_013
59	59	PR01_EXAMPLE_AAC_02Blank_B1	Blank	Solvent		1.47	233	2	85.168	bb	11249.3		13-Apr-12	18:58:52	Batch02_014
83	83	PR01_EXAMPLE_AAC_02QC_B2	QC	QC	0.000	1.50	26048	141369	0.109	bb	1.1		13-Apr-12	19:09:17	Batch02_015
44	44	PR01_EXAMPLE_AAC_0117_A1	S71-3mnd-10	Analyte		1.49	29375	144066	0.120	bb	2.6		13-Apr-12	19:19:46	Batch02_016
42	42	PR01_EXAMPLE_AAC_0115_A1	S71-M1-10	Analyte		1.48	26019	143837	0.107	bb	0.8		13-Apr-12	19:30:14	Batch02_017
43	43	PR01_EXAMPLE_AAC_0116_A1	S71-M2-10	Analyte		1.48	21882	145951	0.088	bbI	0.0		13-Apr-12	19:40:39	Batch02_018
48	48	PR01_EXAMPLE_AAC_0128_A1	S49-3mnd-0	Analyte		1.50	22420	147388	0.090	bbI	0.0		13-Apr-12	19:51:04	Batch02_019
46	46	PR01_EXAMPLE_AAC_0126_A1	S41-3mnd-0	Analyte		1.49	22779	146027	0.092	bbI	0.0		13-Apr-12	20:01:30	Batch02_020
3	3	PR01_EXAMPLE_AAC_0003_A1	S1-3mnd-10	Analyte		1.49	22263	146740	0.090	bbI	0.0		13-Apr-12	20:11:55	Batch02_021
29	29	PR01_EXAMPLE_AAC_0052_B1	S38-M1-10	Analyte		1.49	28611	145511	0.116	bb	2.0		13-Apr-12	20:22:20	Batch02_022
2	2	PR01_EXAMPLE_AAC_0002_A1	S1-M2-10	Analyte		1.50	21852	143434	0.090	bbI	0.0		13-Apr-12	20:32:45	Batch02_023
1	1	PR01_EXAMPLE_AAC_0001_A1	S1-M1-10	Analyte		1.50	21296	144101	0.087	bbI	0.0		13-Apr-12	20:43:10	Batch02_024
84	84	PR01_EXAMPLE_AAC_02QC_C1	QC	QC	0.000	1.49	23970	138927	0.102	bb	0.1		13-Apr-12	20:53:36	Batch02_025
10	10	PR01_EXAMPLE_AAC_0008_B1	S8-M2-10	Analyte		1.49	16480	147572	0.066	bbI	0.0		13-Apr-12	21:04:01	Batch02_026
16	16	PR01_EXAMPLE_AAC_0026_A1	S17-M2-10	Analyte		1.50	26882	144163	0.110	bb	1.2		13-Apr-12	21:14:27	Batch02_027
15	15	PR01_EXAMPLE_AAC_0024_B1	S24-3mnd-10	Analyte		1.50	22845	151021	0.089	bbI	0.0		13-Apr-12	21:24:53	Batch02_028
17	17	PR01_EXAMPLE_AAC_0027_A1	S17-3mnd-10	Analyte		1.50	26491	146261	0.107	bb	0.8		13-Apr-12	21:35:18	Batch02_029
20	20	PR01_EXAMPLE_AAC_0030_A1	S19-3mnd-10	Analyte		1.51	22111	148793	0.088	bbI	0.0		13-Apr-12	21:45:43	Batch02_030
18	18	PR01_EXAMPLE_AAC_0028_A1	S19-M1-10	Analyte		1.51	25706	148968	0.102	bb	0.2		13-Apr-12	21:56:08	Batch02_031
19	19	PR01_EXAMPLE_AAC_0029_A1	S19-M2-10	Analyte		1.50	21391	147036	0.086	bbI	0.0		13-Apr-12	22:06:33	Batch02_032
55	55	PR01_EXAMPLE_AAC_0139_A1	C7-10	Analyte		1.51	25265	144740	0.103	bb	0.3		13-Apr-12	22:16:58	Batch02_033
54	54	PR01_EXAMPLE_AAC_0138_A1	C6-10	Analyte		1.49	24381	147547	0.097	bbI	0.0		13-Apr-12	22:27:23	Batch02_034
85	85	PR01_EXAMPLE_AAC_02QC_C2	QC	QC	0.000	1.50	24359	139757	0.103	bb	0.3		13-Apr-12	22:37:48	Batch02_035
4	4	PR01_EXAMPLE_AAC_0004_A1	S3-M1-10	Analyte		1.50	28047	146365	0.113	bb	1.6		13-Apr-12	22:48:13	Batch02_036
6	6	PR01_EXAMPLE_AAC_0006_A1	S3-3mnd-10	Analyte		1.52	29682	144639	0.121	bb	2.7		13-Apr-12	22:58:38	Batch02_037
5	5	PR01_EXAMPLE_AAC_0005_A1	S3-M2-10	Analyte		1.50	24354	150164	0.096	bbI	0.0		13-Apr-12	23:09:03	Batch02_038
56	56	PR01_EXAMPLE_AAC_0140_B1	C8-10	Analyte		1.50	32676	144685	0.133	bb	4.3		13-Apr-12	23:19:28	Batch02_039
